,rate,text
1,1,"EDIT 09/06/2013:- That's it. I have had my fill of too many stupid, brain-cell destroying comments posted on this review in the past few months asking me to write a 'best-selling book' before attempting to take apart Rick Riordan's writing. As if the exclusive privilege of negatively criticizing a book is accorded only to published writers and not ordinary reviewers/readers.
I do have the right to record my feelings about a book in my review. And it's such a shame that I am actually being forced to put up this edit to make people aware of this fact. If this review hurts your sentiments as a fan, I am sorry I can't help you there. You must grow up and learn to let dichotomous opinions co-exist in harmony on the same page. That is all.

Brutal honesty ahead. Read at the expense of having to respect someone else's views.

---------

What a feeble attempt at recreating the Harry Potter magic! Aside from being highly unoriginal and unimaginative, the book grates on your nerves due to the frequency of Percy's lame attempts at sounding witty. Seriously, I'm supposed to laugh at his observations on the and ?
Not only did the writer not bother racking his brains to come up with a plot or a proper story, choosing instead to recycle key elements of the Harry Potter series, but he also ignored important aspects of a fantasy novel, one of which is the language. To call the narration just bad will be an understatement. Same can be said about the dialogue and the way the plot progresses - it's one cliched event unfolding after another.
The only novel thing about this book is the seamless integration of Greek mythology into a fantasy-based set-up. The 1 star is for that.
And so I'd like to put a premature end to my review because I just realized the futility of writing one of a book I hated."
2,1,
3,1,"I posted a scathing review of this book when I first read it - 13 years ago now! - while I was studying children's lit at uni. I kept getting narky comments from Percy Jackson fans with hurt feelings, so I decided to re-read the book and update my review. I stand by a lot of the things I said, but I've tried to express my views in a milder manner in order to avoid the PITCHFORKS (or should I say tridents, ho ho) from Team Percy.

With all the lofty maturity and perspective gained since 2010, I concede that it's probably not that bad. It's a quick easy read, fast-paced and entertaining, with a lot of wish-fulfillment-type stuff about an underdog kid getting his own back against bullies and singlehandedly taking on a bunch of monsters with great success. I can see why it's popular and I've happily recommended it to students before, despite my personal prejudice! But I still didn't love it, and I maintain that there are some things about it that are annoying.

Comparisons to the Harry Potter series are pretty inevitable considering when the book was published, which the author acknowledged in . Riordan said that Percy Jackson was 'in many ways' influenced by Harry Potter, and went on to defend some of the key similarities as drawing on the same mythology and containing the same universal themes. This is true, and perfectly legitimate. I have no problem with authors taking inspiration from the canon of existing literature - all fiction is essentially derivative, blah blah. I'm not going to whinge that he referenced the same mythological 3-headed dog (Cerberus/Fluffy) or used some of the same themes (hero's quest). The similarities I'm thinking of are more specific details. Things like:
• the trio of main characters includes a special chosen one with green eyes and black hair, his somewhat useless but funny & loyal best friend, and a smart/competent girl with curly hair.
• Percy/Harry has to stay with a horrible mortal/muggle relative (Gabe/the Dursleys) for his protection (scent/blood magic)
• Upon learning that he is special and not just unlucky, he goes to a magical school, invisible to mortals/muggles (Camp Half Blood/Hogwarts), where he is again under magical protection.
• The students are sorted into teams and there's one noticeably evil team (Ares/Slytherin). There's a strong rivalry between the evil team and the team our hero is on, which leads to fierce competition in games (Capture the flag/Quidditch)
• One of the main antagonists (Clarisse/Draco) is from the evil team, and we later find out has a bit of a bully for a dad (Ares/Lucius)
• The hero finds he can understand a language without learning it (Ancient Greek - and also speaking to horses/Parseltongue)
• An ordinary muggle train station takes you to the entrance of Mt Olympus/Hogwarts.
• The main villain (Kronos/Voldemort) has been in a weakened or near-defeated state due to being ripped into pieces but is regaining power
• There is a prophecy saying (Percy/Harry) will defeat (Kronos/Voldemort) - but it could refer to someone else.
• Some very similar phrasing at times, for example in the scene where the mean teacher (Mr D/Snape) greets (Percy/Harry) by sneering ""well well, our little celebrity"". And the term ""half-blood"". Personally, I think he should have gone with ""demigod"", which is both a cooler word AND a more accurate description of what they are.

I'm not saying I think Riordan intentionally set out to rip Harry Potter off. I just suspect he had the book in his memory when writing and subconsciously mimicked some aspects. HOWEVER, I freely accept that others may consider the similarities either coincidental or sufficiently different to render them unique.

Another thing I mentioned in my original review was the link between ugliness and evil. This still stood out to me on a second reading - possibly only because I remembered it and was looking for it. Some examples are Percy's bully Nancy Bobofit, who has ""crooked teeth"" and ""orange freckles like she's been sprayed with liquid Cheetos"" and has a posse of ""ugly friends"", Clarisse is a ""big ugly girl"" who looks like she ""wears a size XXXL shirt"" and has ""stringy hair"" and ""ugly pig eyes"". The Ares team is full of the ""biggest and ugliest kids"", who live in an ""ugly red cabin"" and their table gives ""an ugly cheer"". Percy's horrible stepdad Gabe's last name is Ugliano and he is described as ugly, balding & overweight. In a combat Percy refers to his opponents as ""Ugly One, Ugly Two"" etc. Meanwhile, Annabeth is ""pretty"" with ""curly blonde hair like Cinderella"" and Percy is a ""good-looking kid"" and has a ""handsome"" face. To be fair, this book certainly isn't the only culprit, but I don't think it's a particularly good message. It probably resonates with preteens, at that age they might find it satisfying to have ugliness sneered at without being told it's unkind/unfair.

I still found Percy a bit too effortlessly awesome. He's often described as guessing or instinctively knowing what to do, without having to come up with ideas, especially in battle. Feeling angry causes him to channel some sort of combat mode where he can perform skills he's never practiced, such as when he disarms Luke in training. ""My body thought for me"" he'll say as he ducks a fatal blow then makes a wild unplanned swing with his sword that somehow not only connects but slices a monster in half. He can beat Ares, the actual god of war, in one-on-one combat. He can saunter into the Underworld without any kind of plan, bribe his way in with money and flattery, have a casual chat to Hades, and then escape with his two friends unharmed. He automatically understands Ancient Greek because his brain is ''hardwired'' for it, and can speak to horses because his father created them. He often has a feeling of danger or a sense that something's wrong (although he never acts on this and plunges in anyway, every. single. time.) and guesses or figures out stuff based on VERY scant evidence. I mean yes, it makes sense in the fiction - he's a demigod, so he's supposed to be born with supernatural powers - but I think it makes him a shallower and less interesting character. In general, I thought the action moved on a bit too quickly to leave much time for any deep conversations or character development, but that's a complaint I often have about teen fiction. I think a lot of authors incorrectly assume their audience won't have the patience for a slower and more thoughtful pace.

My final complaint - a NEW one! - was that I didn't buy the underlying premise. The ancient Greek gods are still around but have moved with the times, hide most of their doings from mortals now using 'Mist', and shift their headquarters to wherever the ""pinnacle of western civilization"" is (America, natch) but they've kept all the same customs, weapons, language, building styles etc that they had in Greece. Well, ok, but what about all the gods of other ancient civilizations? Baal, Ra, Thor, Ishtar, Brahma, Shangti - were they also real? Are they other names for the same guys? Why did they choose to go with the Greek theme if they existed before and after that time? It was never explained. Maybe he'll talk about it in one of the next books in the series but I don't intend to read them so I'll never know.

ORIGINAL REVIEW:
Was forced to read this lame American rip-off of Harry Potter for my children's lit course. Almost everything about it irritated me deeply - the cheesy humour, Percy's effortless awesomeness and lack of any actual character depth or personality, the concept of 'inborn' knowledge like understanding ancient Greek, the constant info-dumps from other characters explaining things to Percy. And how many times did R.Riordan want to push the UGLINESS=EVIL point? Every SINGLE time the stereotypically and pointlessly evil Aries group were mentioned the word 'ugly' was used to describe them, even if a cheer went up from their table it was 'an ugly cheer'. And Percy's smelly stepdad Gabe's surname is 'UGLIano', oh yes very subtle. I wanted to get a pen and paper out and start a running tally of the obvious Harry Potter references - I won't list them because there are TOO MANY TO COUNT, but my favourite was when one of the teachers actually said to him: ""Percy Jackson... our little celebrity""."
4,1,"Badly written and very sexist. Evil is synonymous with ugly and fat. Girls Percy doesn't like are all described as ugly and masculine (and it is made sure that the reader knows that masculine traits in a girl or a woman mean that she is evil).

And you would not think it possible to turn Greek mythology into conservative American nationalism, but Riordan managed even that.

If you are looking a book to buy for a teenager, do get them something else. Most bricks are better literature than this."
5,1,"Now before you jump on my case, one star simple means ""I didn't like it."" Two stars is ""It was ok,"" which is not accurate to my feelings. The Lightning Thief isn't an awful book, it's just not any good. The concept is creative, but the writing is so sloppy, the dialogue so lame/awkward, and the plot so forced, that what you end up with is the most unimpressive Potter knock-off you can manage. I'll be honest, I hate Twilight but I think even that book is better balanced than this one. Riordan is sometimes even offensive. While the adherence to the canonical myth takes liberties which I think are fine, the Greeks themselves get the shaft. The spirit of the mythology is robbed, replaced with a kind of Ami-Greek hybrid that labels the Upper West side the center of the universe. It may sound trite, overly sensitive, but honestly, it really hurts the integrity of the mythos (ha ha) of Riodan's world.
Percy himself is annoying, the characters are stock, the feelings often forced or nonexistant. Fantastic things happen but carry no weight, and the thunder that follows allusions to the great pantheon is cheesy to say the least. I walked out on Jackson a quarter of the way in."
6,1,"Who knew the category of young adult books aimed at boys was such a wasteland? I've been disappointed by Eoin Colfer and now this supposedly award-winning series by Rick Riordan.
The premise is clever but as many other readers have noted, it is pretty much a Harry Potter rip-off. In one scene, Percy (the hero) sees a guard reading a thick book with a wizard on the cover which he thinks must be good because the guard takes a while to respond. Percy himself, we are told, doesn't care for fantasy. Well, he might plead ignorance of JK Rowling but you can be sure the author has patterned his entire series on the boy-wizard books. Whereas Rowling offered young boys and girls the best of fiction and literature, Riordan and Colfer dish up tired, cliched action-packed adventures. The narrator mustn't pause in the action for a second to talk or think too long before plunging his sword into the next monster. Also, Rowling obviously did a lot of research on her subject and it is clear Riordan didn't when we find lazy errors sprinkled throughout the narrative (e.g. he mistakenly calls Nemesis a god instead of a goddess).
Aside from the bad writing, I struggled with the political ideology of this book. Let's leave aside the fact that there are no characters of color. I just finished reading a novel by a real Greek author called Middlesex and it is an interesting comparison between the candid, all-inclusive, racially and sexually diverse elements in that story versus the narrow world of Percy Jackson and the Olympians. But I think the big glaring problem no one has mentioned is that Riordan has some serious issues with women. Practically every woman character is evil. The only two good women are self-sacrificing defenders of the old patriarchic order. Violence against women is not simply tolerated--it is encouraged. Considering this is a postmodern twist on the old myths (incredibly rich, layered myths to which Riordan does an extreme disservice), the reader might expect that we hear about Medusa from a sympathetic perspective or about the Furies' version of their role as defenders of mother-right.
I feel sad for the young boys out there who are making do with this kind of book and its ilk. No wonder they'd rather play video games than read books. With cheap stories like this, it amounts to the same thing. They deserve better."
7,1,"Somebody please tell me that a twelve year old who just saw his mother being kidnapped won't go around making jokes. Okay, I don't mind a few jokes, but i don't want a joke as big as this book. It actually took me over a year, after once starting it, to develop courage to finish it.

The first person account is one of most annoying things in the book, which twelve year old talks like that - I don't think Rick has it to enter psychology of a twelve year old. No wonder the guy in movie wasn't twelve year old; I mean honestly has the author a kid in all his life.

If you ignore for once the little trivia about Greek gods (which I shall criticize shortly), it is just a shameless coping, no, an insult, of Harry Potter series. If anything, it goes on to show, why Harry Potter is more than just a adventure story. Besides the little adventures, HP was full of allegorical references (to real world), wonderful characters and beautiful writing. She had managed to enter the psychology of both children and adults like no one else can. HP created in one a philosophy that can act as basis for a child to form attitudes towards such things like death, drugs, good or evil, hunger for power. This one has nothing of that. There is no way for example, that it would come so intriguing a character as Snape or such wonders as Platform Platform Nine and Three-Quarters.

It is just how timid mind of a gamer would have seen HP - fights and pranks. Just think of it, a monster doesn't die, if you kill it; and will come back to haunt. Isn't that the kind of thing, that happens in video games?

Now the only argument in favor of book was connections it made to Greek goods. Here are four replies that can be made against it:

1. The basic system is stolen from HP - full time school became summer school, Greek creatures rather than magical ones and so on.

2.Anyone in our generation knows about Greek gods, there are video games and movies all over places, and it is internet age friends. Hades actually looks like same character from Disney cartoon series 'Hercules'.

3. This is most important argument, it was stupid. I mean just give it a thought - 'spirit of western civilization', I mean are you kidding me. what about eastern, northern and southern civilizations - do they have gods too? and if these children of gods are so undesired, how come they are called heroes? What about children gods would have with goddesses? Will they be immortal? because in that case, we must have a population explosion of gods.

I normally don't care about logic that much, if it is a good story but it is just nonsense redefined. I mean, I never asked the logic of wands in HP but that was because Rowling made it look real.

Yes, it is a best seller but that doesn't make it a great book, does it? HP fans were hungry for more and so switched to sub-prime authors. And don't tell me that i'm too old to like it, I read children books all the same. I could go on criticizing the book but i don't see any point in doing that.

Instead of reading it, I would recommend reading HP; and if you have read it, read it again and if you have already read it twice; just give it one more reading - it would still have much more in it than Percy Jackson."
8,1,"I'm not going to win myself any friends from Percy Jackson's legions of fans with this review. Remember that it's just, like, my opinion, man. Now, I have harbored a love of Greek mythology since I was in elementary school and I found a book of such in my school library. I loved it so much, I am sorry to say that I stole it! Fortunately the statute of limitations has elapsed on that particular crime. I looked forward to seeing how this material was wielded in this extremely popular series, so popular that even over a dozen years later, my library can't keep any of its 14 print copies on the shelf, not to mention other formats.

First, the good: . Pretty rad name for a sword.

Then, the less good: the low reading level, the poor humour, the tired formula.

I can't fault the reading level on its own; it's not the book's fault that it was below my expectations. I thought a book and series that was such a breakout hit would be on par with Harry Potter in literary appeal. As it is, I found this to be merely a step above early-reader chapter books. I do not consider this a middle-grade book, rather I judge it to be for older elementary children in terms of reading comprehension. But of course, whoever enjoys it is free to do so, regardless of their age. I found it over-simplified, shallow, and devoid of dramatic tension. It is also supremely formulaic. Take the main party; the boy chosen-one, the goofy, underwhelming boy sidekick, and the competent female second sidekick who is the only one who actually worked hard to earn her place. We have seen this arrangement endless times before. The novel's opening and set-up uses extremely tired narrative techniques. The main character lacks any distinctive personality. Action scenes are random, with poor use of the source material. Supposedly humorous sections fall flat. The driving broader threat, that a war between gods would devastate the earth, is mostly told, not shown or felt by the reader, who has to manufacture interest in the characters' success independently. Overall, I thought the writing was lazy. I attribute a large portion of the book's (and subsequent Riordan publishing empire's) success to a powerful marketing campaign, rather than inherent quality.

And last, the questionable or disturbing: for one, Percy labels himself as dyslexic and ADHD, but does not appear to suffer any of the hardships that actual kids with these diagnoses would encounter. This does a disservice to those who legitimately struggle with these. Similarly, the issue of domestic physical abuse was approached far too casually, and

I don't begrudge anyone who has fond memories of this book, or any of the kids who enjoy it, but there are so many significantly better children's fantasy series out there that are vastly more original and that don't dumb down writing for children.

I do caution any parents to be aware of the need for a conversation about domestic abuse (and murder!) if your kids jump on this bandwagon."
9,1,"I read about 50 pages in. Not one character was likable to me, but I was willing to continue UNTIL...Riordan went on his imperialist gloss about 'Western civilization' being the most important in history. Seriously offended my postcolonial sensibilities. I couldn't continue with no characters to like and the author spewing his personal idiocy."
10,1,"If I were to add this book at the top of any list, it would be on a list entitled 'Weird, Random, and Stupid'.

Don't start jumping to the conclusion that I don't know my Greek mythology. I do. And I actually thought this book was going to be awesome.
First off, in my experience, any book with the word thief on the cover must be good (), so a thief sounded very promising.
Second, I've decided I would not jump to conclusions on books before I've even read them (my mistake with series, which I was totally ready to hate simply because everyone else in my class liked them and because Stephenie Meyer liked them).
And third, having recently read for the very first time and still feeling very sad I finished it, I really needed another book series to get obsessed over (I'm actually still reading , but it's in pdf form and frankly I can't stand reading off my laptop).
So it was. I was given two days by the librarian to finish it, which is probably the only reason I did finish it so quickly. I wasn't exactly having the time of my life while reading it.

I just couldn't get around the absolutely mediocre narrative. It literally sounded like an eleven-year-old wrote it (I ought to know, since at eleven I tried writing my own novel and it sounded almost exactly like Rick Riordan). I don't like books that are too easy to read.
I also don't like books that aren't very subtle. As in, where everything starts happening too fast and the protagonist just takes it in stride. I really think this book would've been a little bit more bearable if it had set Percy as already having been a member of Camp Half-Blood. It could've been about Percy being an outcast at the camp of demigods because no one has been able to figure out who his father is. In my opinion, if the author has way too many incredible and inexplicably impossible things to explain to the main character, then they should just make it so that the main character already knows about all of it. This would be the equivalent of Harry Potter growing up knowing he was a wizard and how his parents were killed, and that he would be going to Hogwarts someday. I mean, it's alot to take in already, the existence of mythological monsters and gods, plus the fact that you are the son of one of those gods, without adding to that the fact that you are suspected of having stolen Zeus's lightning bolt. When you write in the fantasy/myth genre and set it in the real world, you slowly adapt your character to the magical world he will eventually have to save and you pit his doom on him.

The other thing that made it extremely hard to like this book was that there were monsters at every single place Percy's trio stopped by. These were the 'Random' parts of the book. How is it that as soon as Percy and his friends get out of one tight spot they immediately end up in another? Given that they couldn't even stop at a burger joint without being accosted by Ares the god of war, or stop at a random garden ornaments' shop without having Medusa as the shopkeeper, and the nearest hotel just happens to be the one that holds kids prisoner for decades with its promise of an endless supply of food and games, I'm surprised Percy hadn't died earlier on in his childhood, along with half the population in Los Angeles.

Aside from all that, the three main characters Grover, Annabeth, and Percy were actually likeable and memorable - especially Grover, who was my favorite character - but they weren't enough to exucse the fact that they were set in a very badly plotted and disorganized mumbo-jumbo of a story that's fooling itself as an adventure with a mythological twist. There weren't any laugh-out-loud moments for me as, again, the writing style was pretty juvenile. There were some overly used elements, like a school bully, and the jerk stepdad. Generally, it was the book equivalent of a 15-minute animated cartoon. Probably only really good for an audience of 10 year old boys. A big waste of my time."
